Name,Start column,End Column,Description
ADPWLM42,761   ,762   ,SAQ 4WKS:WORK LIMT B/C PHY PROBS SF-12V2
ADRESP42,727   ,728   ,SAQ 12 MOS: DR SHOWED RESPECT
ADREST42,793   ,794   ,SAQ 30 DAYS: HOW OFTEN FELT RESTLESS
ADRISK42,813   ,814   ,SAQ: MORE LIKELY TO TAKE RISKS
ADRTCR42,713   ,714   ,SAQ 12 MOS: MADE APPT ROUTINE MED CARE
ADRTWW42,715   ,716   ,SAQ 12 MOS: GOT MED APPT WHEN WANTED
ADSAD42,795   ,796   ,SAQ 30 DAYS: HOW OFTEN FELT SAD
ADSMOK42,743   ,744   ,SAQ: CURRENTLY SMOKE
ADSOCA42,775   ,776   ,SAQ 4WKS: HLTH STOPPED SOC ACTIV SF-12V2
ADSPEC42,749   ,750   ,SAQ 12 MOS: NEEDED TO SEE SPECIALIST
ADTLHW42,735   ,736   ,SAQ 12 MOS: DR ASKED R DESC HOW FOLLOW
ADUPRO42,555   ,556   ,PRBLM GETTING ALONG W/ADULTS (5-17)-R4/2
ADWRTH42,799   ,800   ,SAQ 30 DAYS: HOW OFTEN FELT WORTHLESS
AFDC14,1403   ,1404   ,DID PERSON'S CHECK INCLUDE TANF
AFTHOU42,1014   ,1015   ,AC25 HOW DIFF CONTACT USC AFT HOURS-R4/2
AGE14X,177   ,178   ,AGE AS OF 12/31/14 (EDITED/IMPUTED)
AGE31X,171   ,172   ,AGE - R3/1 (EDITED/IMPUTED)
AGE42X,173   ,174   ,AGE - R4/2 (EDITED/IMPUTED)
AGE53X,175   ,176   ,AGE - R5/3 (EDITED/IMPUTED)
AGELAST,179   ,180   ,PERSON'S AGE LAST TIME ELIGIBLE
AIDHLP31,425   ,426   ,USED ASSISTIVE DEVICES - RD 3/1
AIDHLP53,427   ,428   ,USED ASSISTIVE DEVICES - RD 5/3
ALIIMP14,1550   ,1550   ,ALIMONY INCOME IMPUTATION FLAG
ALIMP14X,1545   ,1549   ,PERSON'S ALIMONY INCOME
AMAEXP14,4049   ,4053   ,TOTL AMBULTRY (OB+OP) PHYS ASS T EXP 14
AMAMCD14,4062   ,4066   ,PHYS ASS T AMB VSTS-MEDICAID AMT 14
AMAMCR14,4058   ,4061   ,PHYS ASS T AMB VSTS-MEDICARE AMT 14
AMAOFD14,4079   ,4082   ,PHYS ASS T AMB VSTS - OTHER FED AMT 14
AMAOPR14,4090   ,4092   ,PHYS ASS T AMB VSTS - OTH PRIVATE AMT 14
AMAOPU14,4093   ,4095   ,PHYS ASS T AMB VSTS - OTH PUBLIC AMT 14
AMAOSR14,4096   ,4099   ,P A AMB VSTS - OTH UNCLASS SRCE AMT 14
AMAOTH14,4104   ,4107   ,PHYS ASS T AMB VSTS-OTH COMBINED AMT 14
AMAPRV14,4067   ,4070   ,PHYS ASS T AMB VSTS-PRIVATE INS AMT 14
AMAPTR14,4100   ,4103   ,PHYS ASS T AMB VSTS - PRV & TRI AMT 14
AMASLF14,4054   ,4057   ,PHYS ASS T AMB VSTS-SELF/FAMILY AMT 14
AMASST14,4042   ,4043   ,"# PHYSICIAN ASS T VSTS (OFF+OUPAT), 2014"
AMASTL14,4083   ,4086   ,PHYS ASS T AMB VSTS-OTH ST/LOCL AMT 14
AMATCH14,4044   ,4048   ,PHYS ASS T AMBULATORY VISIT CHARGES 14
AMATRI14,4075   ,4078   ,PHYS ASS T AMB VSTS-TRICARE AMT 14
AMAVA14,4071   ,4074   ,PHYS ASS T AMB VSTS-VA/CHAMPVA AMT 14
AMAWCP14,4087   ,4089   ,PHYS ASS T AMB VSTS-WRKERS COMP AMT 14
AMCEXP14,3836   ,3840   ,TOTL AMBULTRY (OB+OP) CHIRO EXP 14
AMCHIR14,3828   ,3830   ,"# CHIROPRACTR VSTS (OFF+OUTPAT), 2014"
AMCMCD14,3850   ,3853   ,CHIRO AMB VISITS - MEDICAID AMT 14
AMCMCR14,3846   ,3849   ,CHIRO AMB VISITS - MEDICARE AMT 14
AMCOFD14,3866   ,3869   ,CHIRO AMB VISITS - OTHER FEDERAL AMT 14
AMCOPR14,3879   ,3883   ,CHIRO AMB VISITS - OTH PRIVATE AMT 14
AMCOPU14,3884   ,3886   ,CHIRO AMB VISITS - OTH PUBLIC AMT 14
AMCOSR14,3887   ,3891   ,CHIR AMB VSTS - OTH UNCLASS SRCE AMT 14
AMCOTH14,3897   ,3901   ,CHIRO AMB VISITS - OTH COMBINED AMT 14
AMCPRV14,3854   ,3858   ,CHIRO AMB VISITS - PRIVATE INS AMT 14
AMCPTR14,3892   ,3896   ,CHIRO AMB VISITS -PRV & TRI AMT 14
AMCSLF14,3841   ,3845   ,CHIRO AMB VISITS - SELF/FAMILY AMT 14
AMCSTL14,3870   ,3873   ,CHIRO AMB VISITS - OTH ST/LOCAL AMT 14
AMCTCH14,3831   ,3835   ,CHIRO AMBULATORY VISIT CHARGES 14
AMCTRI14,3863   ,3865   ,CHIRO AMB VISITS-TRICARE AMT 14
AMCVA14,3859   ,3862   ,CHIRO AMB VISITS - VA/CHAMPVA AMT 14
AMCWCP14,3874   ,3878   ,CHIRO AMB VISITS-WORKERS COMP AMT 14
AMDRC14,4187   ,4187   ,"# CALLS W/OFF & OUTPAT PHYSICIANS, 2014"
AMEEXP14,3988   ,3991   ,TOTL AMBULTRY (OB+OP) OPTOMETRIST EXP 14
AMEMCD14,4000   ,4002   ,OPTMTRIST AMB VSTS - MEDICAID AMT 14
AMEMCR14,3996   ,3999   ,OPTMTRIST AMB VSTS - MEDICARE AMT 14
AMEOFD14,4014   ,4016   ,OPTMTRIST AMB VSTS-OTHER FED AMT 14
AMEOPR14,4024   ,4027   ,OPTMTRIST AMB VSTS - OTH PRIVATE AMT 14
AMEOPU14,4028   ,4030   ,OPTMTRIST AMB VSTS - OTH PUBLIC AMT 14
AMEOSR14,4031   ,4033   ,OPTOM AMB VSTS - OTH UNCLAS SRCE AMT 14
AMEOTH14,4038   ,4041   ,OPTMTRIST AMB VSTS - OTH COMBINED AMT 14
AMEPRV14,4003   ,4006   ,OPTMTRIST AMB VSTS - PRIVATE INS AMT 14
AMEPTR14,4034   ,4037   ,OPTMTRIST AMB VSTS - PRV & TRI AMT 14
AMESLF14,3992   ,3995   ,OPTMTRIST AMB VSTS - SELF/FAMILY AMT 14
AMESTL14,4017   ,4020   ,OPTMTRIST AMB VSTS-OTH ST/LOCAL AMT 14
AMETCH14,3984   ,3987   ,OPTOMETRIST AMBULATORY VISIT CHARGES 14
AMETRI14,4011   ,4013   ,OPTMTRIST AMB VSTS-TRICARE AMT 14
AMEVA14,4007   ,4010   ,OPTMTRIST AMB VSTS-VA/CHAMPVA AMT 14
AMEWCP14,4021   ,4023   ,OPTMTRIST AMB VSTS-WORKERS COMP AMT 14
AMNEXP14,3911   ,3916   ,TOTL AMBULTRY (OB+OP) NURSE/PRAC EXP 14
AMNMCD14,3927   ,3932   ,NRS/PRAC AMB VSTS - MEDICAID AMT 14
AMNMCR14,3922   ,3926   ,NRS/PRAC AMB VSTS - MEDICARE AMT 14
AMNOFD14,3947   ,3950   ,NRS/PRAC AMB VSTS-OTHER FEDERAL AMT 14
AMNOPR14,3959   ,3963   ,NRS/PRAC AMB VSTS - OTH PRIVATE AMT 14
AMNOPU14,3964   ,3967   ,NRS/PRAC AMB VSTS - OTH PUBLIC AMT 14
AMNOSR14,3968   ,3971   ,NRS/PR AMB VSTS - OTH UNCLAS SRCE AMT 14
AMNOTH14,3977   ,3981   ,NRS/PRAC AMB VSTS - OTH COMBINED AMT 14
AMNPRV14,3933   ,3937   ,NRS/PRAC AMB VSTS - PRIV INS AMT 14
AMNPTR14,3972   ,3976   ,NRS/PRAC AMB VSTS - PRV & TRI AMT 14
AMNSLF14,3917   ,3921   ,NRS/PRAC AMB VSTS - SELF/FAMILY AMT 14
AMNSTL14,3951   ,3954   ,NRS/PRAC AMB VSTS-OTH ST/LOCAL AMT 14
AMNTCH14,3905   ,3910   ,NRS/PRAC AMBULATORY VISIT CHARGES 14
AMNTRI14,3942   ,3946   ,NRS/PRAC AMB VSTS-TRICARE AMT 14
AMNURS14,3902   ,3904   ,# AMB NURSE/PRCTITIONR VSTS(OB+OP) 14
AMNVA14,3938   ,3941   ,NRS/PRAC AMB VSTS-VA/CHAMPVA AMT 14
AMNWCP14,3955   ,3958   ,NRS/PRAC AMB VSTS-WORKERS COMP AMT 14
AMOPTO14,3982   ,3983   ,# AMB OPTOMETRIST VSTS (OB+OP) 14
AMTEXP14,4117   ,4121   ,TOTL AMBULTRY (OB+OP) PT/OT EXP 14
AMTHER14,4108   ,4110   ,# AMB PT/OT THRPY VISITS (OB+OP) 14
AMTMCD14,4131   ,4135   ,PT/OT AMB VISITS-MEDICAID AMT 14
AMTMCR14,4126   ,4130   ,PT/OT AMB VISITS-MEDICARE AMT 14
AMTOFD14,4151   ,4154   ,PT/OT AMB VISITS - OTHER FED AMT 14
AMTOPR14,4164   ,4167   ,PT/OT AMB VISITS - OTH PRIVATE AMT 14
AMTOPU14,4168   ,4171   ,PT/OT AMB VISITS-OTH PUBLIC AMT 14
AMTOSR14,4172   ,4175   ,PT/OT AMB VSTS-OTH UNCLAS SRCE AMT 14
AMTOTC14,4185   ,4186   ,"# CALLS W/OFFICE & OUPAT DEPTS, 2014"
AMTOTH14,4181   ,4184   ,PT/OT AMB VISITS - OTH COMBINED AMT 14
AMTPRV14,4136   ,4140   ,PT/OT AMB VISITS-PRIVATE INS AMT 14
AMTPTR14,4176   ,4180   ,PT/OT AMB VISITS -PRV & TRI AMT 14
AMTSLF14,4122   ,4125   ,PT/OT AMB VISITS-SELF/FAMILY AMT 14
AMTSTL14,4155   ,4158   ,PT/OT AMB VISITS-OTH ST/LOCL AMT 14
AMTTCH14,4111   ,4116   ,PT/OC AMBULATORY VISIT CHARGES 14
AMTTRI14,4146   ,4150   ,PT/OT AMB VISITS-TRICARE AMT 14
AMTVA14,4141   ,4145   ,PT/OT AMB VISITS-VA/CHAMPVA AMT 14
AMTWCP14,4159   ,4163   ,PT/OT AMB VISITS-WORKERS COMP AMT 14
ANGIAGED,311   ,312   ,AGE OF DIAGNOSIS-ANGINA
ANGIDX,309   ,310   ,ANGINA DIAGNOSIS (>17)
ANYLMT14,513   ,514   ,"ANY LIMITATION IN P18R3,4,5/P19R1,2,3"
ARTHAGED,375   ,376   ,AGE OF DIAGNOSIS-ARTHRITIS
ARTHDX,371   ,372   ,ARTHRITIS DIAGNOSIS (>17)
ARTHTYPE,373   ,374   ,TYPE OF ARTHRITIS DIAGNOSED (>17)
ASACUT53,393   ,394   ,USED ACUTE PRES INHALER LAST 3 MOS-RD5/3
ASATAK31,385   ,386   ,ASTHMA ATTACK LAST 12 MOS - RD3/1
ASATAK53,387   ,388   ,ASTHMA ATTACK LAST 12 MOS - RD 5/3
ASDALY53,399   ,400   ,NOW TAKE PREV DAILY ASTHMA MEDS - RD 5/3
ASEVFL53,403   ,404   ,EVER USED PEAK FLOW METER - RD 5/3
ASIANP42,992   ,993   ,AC19 IS PROVIDER ASIAN-R4/2
ASMRCN53,395   ,396   ,USED>3ACUTE CN PRES INH LAST 3 MOS-RD5/3
ASPKFL53,401   ,402   ,HAVE PEAK FLOW METER AT HOME - RD 5/3
ASPREV53,397   ,398   ,EVER USED PREV DAILY ASTHMA MEDS -RD 5/3
ASPRIN53,666   ,667   ,TKE ASPIRN EVERY (OTHR) DAY (>17)-RD 5/3
ASSTIL31,381   ,382   ,DOES PERSON STILL HAVE ASTHMA-RD3/1
ASSTIL53,383   ,384   ,DOES PERSON STILL HAVE ASTHMA - RD 5/3
ASTHAGED,379   ,380   ,AGE OF DIAGNOSIS-ASTHMA
ASTHDX,377   ,378   ,ASTHMA DIAGNOSIS
ASTHEP31,389   ,390   ,WHEN WAS LAST EPISODE OF ASTHMA - RD 3/1
ASTHEP53,391   ,392   ,WHEN WAS LAST EPISODE OF ASTHMA - RD 5/3
ASWNFL53,405   ,406   ,WHEN LAST USED PEAK FLOW METER - RD 5/3
BEGRFM31,106   ,107   ,R3/1 REFERENCE PERIOD BEGIN DATE: MONTH
BEGRFM42,118   ,119   ,R4/2 REFERENCE PERIOD BEGIN DATE: MONTH
BEGRFM53,130   ,131   ,R5/3 REFERENCE PERIOD BEGIN DATE: MONTH
BEGRFY31,108   ,111   ,R3/1 REFERENCE PERIOD BEGIN DATE: YEAR
BEGRFY42,120   ,123   ,R4/2 REFERENCE PERIOD BEGIN DATE: YEAR
BEGRFY53,132   ,135   ,R5/3 REFERENCE PERIOD BEGIN DATE: YEAR
BENDIF31,453   ,454   ,DIFFICULTY BENDING/STOOPING - RD 3/1
BENDIF53,455   ,456   ,DIFFICULTY BENDING/STOOPING - RD 5/3
BLCKPR42,990   ,991   ,AC19 IS PROVIDER BLACK/AFRICAN AMER-R4/2
BLIND42,499   ,500   ,PERSON IS BLIND - RD 4/2
BMINDX53,698   ,702   ,ADULT BODY MASS INDEX (>17) - RD 5/3
BOOST42,634   ,635   ,DR ADVISE BOOSTER SEAT (40<WT<=80)-R4/2
BORNUSA,265   ,266   ,PERSON BORN IN THE US
BPCHEK53,654   ,655   ,TIME SNCE LST BLOOD PRES CHK (>17)-RD5/3
BPMLDX,303   ,304   ,MULT DIAG HIGH BLOOD PRESS (>17)
BRSTEX53,680   ,681   ,HOW LNG SNCE LST BREAST EXAM (>17)-RD5/3
BSNTY31,1241   ,1242   ,"SOLE PROP, PARTNER, CORP, RD 3/1 CMJ"
BSNTY31H,1337   ,1338   ,"SOL PROP, PRTNR, CORP, RD 3/1 CMJ (IMP)"
BSNTY42,1243   ,1244   ,"SOLE PROP, PARTNER, CORP, RD 4/2 CMJ"
BSNTY42H,1339   ,1340   ,"SOL PROP, PRTNR, CORP, RD 4/2 CMJ (IMP)"
BSNTY53,1245   ,1246   ,"SOLE PROP, PARTNER, CORP, RD 5/3 CMJ"
BSNTY53H,1341   ,1342   ,"SOL PROP, PRTNR, CORP, RD 5/3 CMJ (IMP)"
BSTSRE53,686   ,687   ,RSN HAVE BLD STOOL TST (>39)-R5/3
BSTST53,684   ,685   ,MST RCNT BLD STOOL TST HME KIT(>39)-R5/3
BUSIMP14,1479   ,1479   ,BUSINESS INCOME IMPUTATION FLAG
BUSNP14X,1472   ,1478   ,PERSON'S BUSINESS INCOME
CABLADDR,339   ,340   ,CANCER DIAGNOSED - BLADDER (>17)
CABREAST,341   ,342   ,CANCER DIAGNOSED - BREAST (>17)
CACERVIX,343   ,344   ,CANCER DIAGNOSED - CERVIX (>17)
CACOLON,345   ,346   ,CANCER DIAGNOSED - COLON (>17)
CALUNG,347   ,348   ,CANCER DIAGNOSED - LUNG (>17)
CALYMPH,349   ,350   ,CANCER DIAGNOSED - LYMPHOMA (>17)
CAMELANO,351   ,352   ,CANCER DIAGNOSED - MELANOMA (>17)
CANCERDX,337   ,338   ,CANCER DIAGNOSIS (>17)
CAOTHER,353   ,354   ,CANCER DIAGNOSED - OTHER (>17)
CAPROSTA,355   ,356   ,CANCER DIAGNOSED - PROSTATE (>17)
CARECO42,948   ,949   ,AC08 OTH REAS NO USC:COST OF MED CR-R4/2
CASHP14X,1557   ,1562   ,PERSON'S OTHER REGULAR CASH CONTRIBUTION
CASKINDK,359   ,360   ,CANCER DIAGNOSED-SKIN-UNKNOWN TYPE (>17)
CASKINNM,357   ,358   ,CANCER DIAGNOSED - SKIN-NONMELANO (>17)
CAUTERUS,361   ,362   ,CANCER DIAGNOSED - UTERUS (>17)
CHAPPT42,579   ,580   ,CAHPS:12MOS:# OF OFF/CLIN APTS(0-17)R4/2
CHBMIX42,607   ,611   ,CHILD'S BODY MASS INDEX (6-17)-R4/2
CHBRON31,329   ,330   ,CHRONC BRONCHITS LAST 12 MTHS (>17)-R3/1
CHBRON53,331   ,332   ,CHRONC BRONCHITS LAST 12 MTHS (>17)-R5/3
CHCOUN42,539   ,540   ,CSHCN:CHILD NEEDS COUNSELING (0-17)-R4/2
CHDAGED,307   ,308   ,AGE OF DIAGNOSIS-CORONARY HEART DISEASE
CHDDX,305   ,306   ,CORONARY HRT DISEASE DIAG (>17)
CHECK53,658   ,659   ,HOW LNG LST ROUTNE CHECKUP (>17)-RD 5/3
CHEMPB42,541   ,542   ,CSHCN:COUNS PROB LAST 12+MOS (0-17)-R4/2
CHENEC42,583   ,584   ,CAHPS:12MOS:EASY GET NEC CARE (0-17)R4/2
CHEXPL42,587   ,588   ,CAHPS:12MOS:CHLD DR EXPL THNG(0-17)R4/2
CHEYRE42,597   ,598   ,CAHPS:12MOS:ESY W/RFR TO SPEC(0-17)-R4/2
CHGJ3142,1183   ,1184   ,CHANGED JOB BETWEEN RD 3/1 AND RD 4/2
CHGJ4253,1185   ,1186   ,CHANGED JOB BETWEEN RD 4/2 AND RD 5/3
CHHECR42,593   ,594   ,CAHPS:12MOS:RATE CHLD HLT CARE(0-17)R4/2
CHILCR42,571   ,572   ,CAHPS:12MOS:ILL/INJ NEED CARE(0-17)-R4/2
CHILWW42,573   ,574   ,CAHPS:12MOS:ILL CARE WHN WNTD(0-17)-R4/2
CHLDP14X,1551   ,1555   ,PERSON'S CHILD SUPPORT
CHLICO42,531   ,532   ,CSHCN:LIMIT COND LAST 12+MOS (0-17)-R4/2
CHLIHB42,529   ,530   ,CSHCN:LIMT FOR HLTH/BEHV COND(0-17)-R4/2
CHLIMI42,527   ,528   ,CSHCN:LIMITED IN ANY WAY (0-17)-R4/2
CHLIMP14,1556   ,1556   ,CHILD SUPPORT IMPUTATION FLAG
CHLIST42,585   ,586   ,CAHPS:12MOS:CHLD DR LSN TO YOU(0-17)R4/2
CHNDCR42,581   ,582   ,CAHPS:12MOS:NEED ANY CARE/TRT(0-17)-R4/2
CHOIC31,1144   ,1145   ,CHOICE OF HEALTH PLANS AT RD 3/1 CMJ
CHOIC42,1146   ,1147   ,CHOICE OF HEALTH PLANS AT RD 4/2 CMJ
CHOIC53,1148   ,1149   ,CHOICE OF HEALTH PLANS AT RD 5/3 CMJ
CHOLAGED,335   ,336   ,AGE OF DIAGNOSIS-HIGH CHOLESTEROL
CHOLCK53,656   ,657   ,HOW LNG CHOLEST LST CHCK (>17) - RD 5/3
CHOLDX,333   ,334   ,HIGH CHOLESTEROL DIAGNOSIS (>17)
CHPMCN42,519   ,520   ,CSHCN:PMED COND LAST 12+ MOS (0-17)-R4/2
CHPMED42,515   ,516   ,CSHCN:CHILD NEEDS PRESCRB MED(0-17)-R4/2
CHPMHB42,517   ,518   ,CSHCN:PMED FOR HLTH/BEHV COND(0-17)-R4/2
CHPRTM42,591   ,592   ,CAHPS:12MOS:CHILD DR ENGH TIME(0-17)R4/2
CHRESP42,589   ,590   ,CAHPS:12MOS:CHLD'S DR SHW RESP(0-17)R4/2
CHRTCR42,575   ,576   ,CAHPS:12MOS:MAKE ROUT CARE APT(0-17)R4/2
CHRTWW42,577   ,578   ,CAHPS:12MOS:ROUT APT WHN WNTD(0-17)-R4/2
CHSERV42,521   ,522   ,CSHCN:CHLD NEEDS MED&OTH SERV(0-17)-R4/2
CHSPEC42,595   ,596   ,CAHPS:12MOS:CHLD NEEDED SPEC(0-17)R4/2
CHSRCN42,525   ,526   ,CSHCN:SERV COND LAST 12+ MOS (0-17)-R4/2
CHSRHB42,523   ,524   ,CSHCN:SERV FOR HLTH/BEHV COND(0-17)-R4/2
CHTHCO42,537   ,538   ,CSHCN:THER COND LAST 12+ MOS (0-17)-R4/2
CHTHER42,533   ,534   ,CSHCN:CHLD NEEDS SPEC THERAPY(0-17)-R4/2
CHTHHB42,535   ,536   ,CSHCN:SPEC THER FOR HLTH+COND(0-17)-R4/2
CLINIC42,972   ,973   ,AC08 OTH REAS NO USC: HOSP/ER/CLNIC-R4/2
CLMDEP14,1418   ,1419   ,DID/WILL PERS CLAIM DEPENDENTS ON RETURN
CLMHIP14,1428   ,1429   ,DID/WILL PERS DEDUCT HEALTH INSUR. PREM.
CLNTRE53,690   ,691   ,RSN HAVE COLONOSCOPY (>39)-R5/3
CLNTST53,688   ,689   ,MOST RECENT COLONOSCOPY (>39) - R5/3
CMJHLD31,1361   ,1362   ,HLTH INSUR HELD FROM RD 3/1 CMJ (PRPL)
CMJHLD42,1363   ,1364   ,HLTH INSUR HELD FROM RD 4/2 CMJ (PRPL)
CMJHLD53,1365   ,1366   ,HLTH INSUR HELD FROM RD 5/3 CMJ (PRPL)
COGLIM31,489   ,490   ,COGNITIVE LIMITATIONS - RD 3/1
COGLIM53,491   ,492   ,COGNITIVE LIMITATIONS - RD 5/3
COVRMM,2289   ,2290   ,MONTH MOST RECENTLY COVERED-PNL 19 ONLY
COVRYY,2291   ,2294   ,YEAR MOST RECENTLY COVERED-PANEL 19 ONLY
CPSFAMID,29   ,30   ,CPSFAMID
CRFMPY42,2283   ,2284   ,FAMILY MED BILLS BEING PAID OVER TIME
CSHCN42,543   ,544   ,CSHCN:CHILD W/SPEC HC NEEDS (0-17)-R4/2
CSHIMP14,1563   ,1563   ,CASH CONTRIBUTION IMPUTATION FLAG
DADPRO42,547   ,548   ,PROBLEM GETTING ALONG W/DAD (5-17)-R4/2
DAPID31X,278   ,280   ,PID OF PERSON'S DAD - RD 3/1
DAPID42X,281   ,283   ,PID OF PERSON'S DAD - RD 4/2
DAPID53X,284   ,286   ,PID OF PERSON'S DAD - RD 5/3
DDNSCL31,902   ,903   ,# DAYS MISSD SCHOOL DUE TO ILL/INJ(RD31)
DDNSCL42,904   ,906   ,# DAYS MISSD SCHOOL DUE TO ILL/INJ(RD42)
DDNSCL53,907   ,909   ,# DAYS MISSD SCHOOL DUE TO ILL/INJ(RD53)
DDNWRK31,893   ,895   ,# DAYS MISSED WORK DUE TO ILL/INJ (RD31)
DDNWRK42,896   ,898   ,# DAYS MISSED WORK DUE TO ILL/INJ (RD42)
DDNWRK53,899   ,901   ,# DAYS MISSED WORK DUE TO ILL/INJ (RD53)
DEAF42,495   ,496   ,PERSON IS DEAF - RD 4/2
DECIDE42,1020   ,1021   ,AC28 PROV ASKS PERS TO HELP DECIDE-R4/2
DENTAL42,618   ,619   ,DR ADVISE REG DENTAL CHECKUP (2-17)-R4/2
DENTCK53,652   ,653   ,HOW OFTEN DENTAL CHECK-UP - RD 5/3
DENTIN31,2545   ,2546   ,DENTAL INSURANCE - RD 3/1
DENTIN42,2547   ,2548   ,DENTAL INSURANCE - RD 4/2
DENTIN53,2549   ,2550   ,DENTAL INSURANCE - RD 5/3
DEPDNT14,1420   ,1421   ,PERSON IS FLAGGED A DEPENDENT
DFCOG42,501   ,502   ,SERIOUS COGNITIVE DIFFICULTIES-RD 4/2
DFDRSB42,505   ,506   ,DIFFICULTY DRESSING/BATHING-RD 4/2
DFERND42,507   ,508   ,DIFFICULTY DOING ERRANDS ALONE-RD 4/2
DFHEAR42,493   ,494   ,SERIOUS DIFFICULTY HEARING-RD 4/2
DFSEE42,497   ,498   ,SERIOUS DIFFICULTY SEE W/GLASSES-RD 4/2
DFWLKC42,503   ,504   ,SERIOUS DIFCULTY WLK/CLIMB STAIRS-RD 4/2
DIABAGED,365   ,366   ,AGE OF DIAGNOSIS-DIABETES
DIABDX,363   ,364   ,DIABETES DIAGNOSIS (>17)
DIABW14F,5382   ,5393   ,FINAL DIABETES CARE SUPPLEMENT WEIGHT
DIFFPL42,942   ,943   ,AC08 OTH REAS NO USC:DIFFRNT PLACES-R4/2
DIFFWG31,1087   ,1088   ,PERSONS WAGES DIFFERENT THIS RD31 AT CMJ
